Rank_2018,City,State,Est_Census_2018,Landarea_2016,Pop_Density_2016,Latitude,Longitude,Census_1880,Census_1890,Census_1900,Census_1910,Census_1920,Census_1930,Census_1940,Census_1950,Census_1960,Census_1970,Census_1980,Census_1990,Census_2000,Census_2010,Census_2017
136, Worcester,  Massachusetts,185877,96.9,1905,42.2695,-71.8078,58291.0,84655.0,118421.0,145986.0,179754.0,195311.0,193694.0,203486.0,186587.0,176572.0,161799.0,169759.0,172648.0,181045.0,
137, Brownsville,  Texas,183392,343.2,536,25.9991,-97.4550,4938.0,6134.0,6305.0,10517.0,11791.0,22021.0,22083.0,35086.0,48040.0,52522.0,84997.0,98962.0,139722.0,175023.0,183299.0
138, Vancouver,  Washington,183012,121.5,1439,45.6349,-122.5957,1722.0,3545.0,3126.0,9300.0,12637.0,15766.0,18788.0,41664.0,32464.0,41859.0,42834.0,46380.0,143560.0,161791.0,175673.0
139, Fort Lauderdale,  Florida,182595,89.6,1995,26.1412,-80.1467,,,91.0,336.0,2257.0,8668.0,17996.0,36328.0,83648.0,139122.0,153279.0,149238.0,152397.0,165521.0,180072.0
140, Sioux Falls,  South Dakota,181883,195.3,893,43.5383,-96.7320,2164.0,10177.0,10266.0,14094.0,25202.0,33362.0,40832.0,52969.0,65466.0,72488.0,81182.0,100814.0,123975.0,153888.0,
141, Ontario,  California,181107,129.2,1340,34.0394,-117.6042,,683.0,722.0,4274.0,7280.0,13583.0,14197.0,22872.0,46617.0,64118.0,88820.0,133179.0,158007.0,163924.0,175841.0
142, Chattanooga,  Tennessee,180557,370.6,479,35.0660,-85.2484,12892.0,29100.0,30154.0,44604.0,57895.0,119798.0,128613.0,131041.0,130009.0,119923.0,169514.0,152466.0,155554.0,167674.0,
143, Providence,  Rhode Island,179335,47.7,3760,41.8231,-71.4188,104857.0,132146.0,175597.0,223326.0,237595.0,252981.0,253504.0,248674.0,207498.0,179213.0,156804.0,160728.0,173618.0,178042.0,180393.0
144, Newport News,  Virginia,178626,179.0,1016,37.0762,-76.5220,,1234.0,19635.0,20205.0,35596.0,34417.0,37067.0,42358.0,113788.0,138177.0,144903.0,170045.0,180150.0,180719.0,179388.0
145, Rancho Cucamonga,  California,177751,103.6,1704,34.1233,-117.5642,,,,,,,,,,,55250.0,101409.0,127743.0,165269.0,177452.0
146, Santa Rosa,  California,177586,107.0,1637,38.4468,-122.7061,3616.0,5220.0,6673.0,7817.0,8758.0,10636.0,12605.0,17902.0,31027.0,50006.0,82658.0,113313.0,147595.0,167815.0,
147, Oceanside,  California,176080,107.0,1641,33.2245,-117.3062,,,330.0,673.0,1161.0,3508.0,4651.0,12881.0,24971.0,40494.0,76698.0,128398.0,161029.0,167086.0,176193.0
148, Salem,  Oregon,173442,125.9,1330,44.9237,-123.0232,2538.0,3422.0,4258.0,14094.0,17679.0,26266.0,30908.0,43140.0,49142.0,68296.0,89233.0,107786.0,136924.0,154637.0,169798.0
149, Elk Grove,  California,172886,109.3,1553,38.4146,-121.3850,,,,,,,,,2205.0,3721.0,10959.0,17483.0,59984.0,153015.0,171844.0
150, Garden Grove,  California,172646,46.6,3751,33.7788,-117.9605,,,,,,,,,84238.0,121155.0,123307.0,143050.0,165196.0,170883.0,174226.0
151, Pembroke Pines,  Florida,172374,85.5,1973,26.0210,-80.3404,,,,,,,,,1429.0,15496.0,35776.0,65452.0,137427.0,154750.0,170712.0
152, Peoria,  Arizona,172259,455.1,361,33.7862,-112.3080,,,,300.0,2371.0,1748.0,,,2593.0,4792.0,12171.0,50675.0,108364.0,154065.0,168161.0
153, Eugene,  Oregon,171245,114.2,1458,44.0567,-123.1162,1117.0,,3236.0,9009.0,10593.0,18901.0,20838.0,35879.0,50977.0,79028.0,105664.0,112669.0,137893.0,156185.0,168916.0
154, Corona,  California,168819,102.3,1630,33.8620,-117.5655,,,1434.0,3540.0,4129.0,7018.0,8764.0,10223.0,13336.0,27519.0,37791.0,76095.0,124966.0,152374.0,167836.0
155, Cary,  North Carolina,168160,146.3,1109,35.7809,-78.8133,316.0,423.0,333.0,383.0,645.0,909.0,1141.0,1446.0,3356.0,7686.0,21763.0,43858.0,94536.0,135234.0,165904.0
156, Springfield,  Missouri,168122,213.2,785,37.1942,-93.2913,6522.0,21850.0,23267.0,35201.0,39631.0,57527.0,61238.0,66731.0,95865.0,120096.0,133116.0,140494.0,151580.0,159498.0,
157, Fort Collins,  Colorado,167830,144.5,1136,40.5482,-105.0648,1356.0,2011.0,3053.0,8210.0,8755.0,11489.0,12251.0,14937.0,25027.0,43337.0,65092.0,87758.0,118652.0,143986.0,165080.0
158, Jackson,  Mississippi,164422,287.5,588,32.3158,-90.2128,5204.0,5920.0,7816.0,21262.0,22817.0,48282.0,62107.0,98271.0,144422.0,153968.0,202895.0,196637.0,184286.0,173514.0,166965.0
159, Alexandria,  Virginia,160530,38.8,4010,38.8201,-77.0841,13659.0,14339.0,14528.0,15329.0,18060.0,24149.0,33523.0,61787.0,91023.0,110927.0,103217.0,111183.0,128283.0,139966.0,
